"","product_name","fat_100g","saturatedFat_100g","carbohydrates_100g","sugars_100g","fiber_100g","proteins_100g","sodium_100g"
"28170","Creamy Tomato Bisque",7.10666666666667,3.55333333333333,7.82666666666667,5.47666666666667,1.2,1.50333333333333,0.285
"28176","Creamy Vegetable Spread & Multi Grain Cracker",23.08,7.69,36.54,7.69,3.8,11.54,0.654
"28177","Creamy Vidalia Onion Dressing",30,5,33.33,30,0,0,0.317
"28189","crean crackers",15,7.5,70,2.6,2.5,8,0.511811023622047
"28196","Création Marbré",21.2,9.9,42.4,31.4,2.7,5.3,0.279527559055118
"28202","Créations oranges orange pêche abricot",0,0,9.9,9.8,1.2,0.8,0
"28219","Creative Snacks CoDark Chocolate Cranberries",20,12.5,70,52.5,5,2.5,0
"28227","Creative Snacks COrganic Coconut Bites",40,23.33,40,20,6.7,10,0.15
"28229","Creative Snacks CoRoasted Cashews",50,10,26.67,0,3.3,16.67,0.4
"28238","Creators Of Specialty FoodAn All Natural MayonnaisLemon Herb Aioli",66.67,6.67,6.67,6.67,0,0,0.767
"28252","Crema",24.9,16.2,3.53,3.53,0,2.33,0.0827
"28258","Crema Centroamericana Grade A Sour Cream",17.86,10.71,7.14,3.57,0,3.57,0.339
"28261","Crema Dark Cookie MaryLee",35.6,9.5,58.3,43.3,1.7,2.7,0.12992125984252
"28266","Crema de cacahuete",48.7,9.7,17.8,11.6,7.65,23.65,0.6475
"28284","Crema Mexicana ""Mexican Style"" Cream Product",20,15,3.33,3.33,0,3.33,0.433
"28303","Crème (23 % MG)",23,16,1.6,1.6,0,14,0.78740157480315
"28321","crème anglaise",3.1,1.7,17,15.7,0,3.3,0.078740157480315
"28331","Crème au lait de brebis",35,24,3,2.9,0,3,0.0433070866141732
"28336","Creme Betweens Sandwich Cookies",24,4,64,20,4,8,0.34
"28344","Crème brûlée - éclats de caramel",22,14,19,15,0.5,4.5,0.05
"28358","Creme CakCinnamon Swirl",8.45,2.11,57.75,38.03,1.4,2.82,0.408
"28370","Crème Caramel Cuite & Dorée au four",2.6,1.1,21.5,19.5,0,4.5,0.078740157480315
"28377","Crème Chantilly Light",17.5,12.8,11,9.1,0,2.6,0.0511811023622047
"28408","crème d'or",2,0.5,7,2.5,0.5,1,0.354330708661417
"28411","Crème de balsamique",0,0,51,48,0,0.5,0.0393700787401575
"28412","Crème de bolets",9,4.5,57,10,3,11,5.51181102362205
"28414","Creme De BriDelectable Brie SpreaSmoky Bourbon",21.43,14.29,3.57,0,0,14.29,0.929
"28450","Crème de marrons à la vanille",0.8,0.2,60,41,2.3,1.1,0.00393700787401575
"28482","Crème de volaille champignons déshydratée KNORsachet de 7575cl",5.5,3.3,13,2,0.7,2,0.708661417322835
"28494","Crème dessert au chocolat Bio",4.8,3.3,18,13,0.1,3.3,0.04
"28500","Crème dessert Caramel",1.9,1.2,17.4,14.5,0.045,2.25,0.0590551181102363
"28507","Crème dessert Chocolat",3.5,2.2,18.7,15.5,1.1,3.2,0.0590551181102362
"28508","Crème Dessert Chocolat",1.9,1.2,19,16,0.9,2.3,0.0511811023622047
"28509","Crème dessert Chocolat & Lait",2.9,1.9,17.9,15.3,0.5,3,0.047244094488189
"28532","Crème Dessert saveur Vanille",2.65,1.7,17.9,14.15,0.035,2.6,0.0610236220472441
"28538","Creme Drops Candy",9.3,9.3,83.72,60.47,0,2.33,0.07
"28549","Crème entière stérilisé UHT (30 % MG) liquide",30,19,3.7,3.4,0,2.3,0.0393700787401575
"28552","Crème entière UHT 500 ml",35,20.8,3,3,0,2.5,0.04
"28560","Creme Filled Cosmic Cupcakes",16.5,4.85,62.14,42.72,1.9,3.88,0.291
"28564","Creme Filled Devils Food Cakes",23.81,15.87,55.56,39.68,1.6,3.17,0.206
"28571","Crème Fleurette",30,20,3,3,0,2.5,0.031496062992126
"28582","Crème Fluide Légère",15,10.5,6.1,3.4,0,2.6,0.0393700787401575
"28583","Crème fluide Légère (12 % MG)",12,8.2,5.4,4.6,0,2.7,0.031496062992126
"28589","crème fouettée",35.4,21.1,3,3,0.5,2.5,0.0393700787401575
"28593","Creme Fraiche",39.29,25,3.57,3.57,0,3.57,0.036
"28631","Crème Fraîche Légère épaisse (15 % MG)",15,9.9,5.15,4.95,0.05,2.85,0.029763779527559
"28649","Crème glacée à la vanille Casino",8.3,5.5,23.7,20.2,0.5,2,0.07
"28655","Crème glacée au yaourt et morceaux de fraises",8.1,5.3,24.8,22.5,0.4,4,0.062992125984252
"28665","Crème Glacée Café Et Grains De Café Chocolatés U,",9,5.8,29,24,0.9,2.5,0.0393700787401575
"28666","Crème glacée Caramel",8,6,30,25,0,3,0.12
"28675","crème glacée chocolat",8,5.2,26.1,22.4,1.7,4,0.110236220472441
"28676","Crème glacée chocolat",12.55,8,23.65,22.2,3,4.8,0.245275590551181
"28684","Crème Glacée Chocolat NoiSauce Chocolat et Morceaux de Banane",8.7,5.9,24.1,19.9,2.1,4.4,0.0511811023622047
"28696","Crème glacée Menthe avec copeaux de Chocolat Noir 6 Cônes",14.6,11.5,30.3,20,4.1,3.7,0.047244094488189
"28703","Creme glacée Pistache Fleur d'oranger Amandes et pistaches caramelisées",12.3,6.3,20.4,17.3,0.4,5,0.0590551181102362
"28721","Crème glacée Vanille Macadamia",13.4,9,25.3,23.4,2,2.4,0.08
"28727","Crème glacée Yaourt Sauce Miel & éclats d'amande caramélisée Picard",8.6,5.6,24.7,18.9,0.6,3.5,0.0433070866141732
"28759","Creme Parfait",2.26,1.61,15.48,14.84,0,1.29,0.074
"28763","Crème pâtissière et flan pâtissier saveur vanille",0.6,0.8,97.7,12.7,0,3.1,0
"28772","Crème Quick : Arôme Vanille",3.5,2.5,16,14,0.5,3,0.0118110236220472
"28789","Crème semi épaisse 4%",4.3,2.9,6.5,4.3,0.4,3.1,0.0511811023622047
"28798","Crème sucrée sous pression Dia",27,19,11.8,11.7,0.1,2.2,0.07
"28839","Creole Mix",0,0,7.06,3.53,1.2,1.18,0
"28849","Creole Style Wild Game 30 Minute Marinade Seasoning",26.67,3.33,20,13.33,0,0,3.6
"28880","Crêpes aux châtaignes",6.71,1.32,69.68,16.86,8.87,6.27,0.01629
"28887","Crêpes Champignons",5.8,1,20,4.8,1.3,3.7,0.47244094488189
"28902","Crêpes Dentelle enrobées de chocolat noir",24,13,64,44,4.1,5.7,0.216535433070866
"28903","Crêpes Dentelle Fourrées au Roquefort",34,14,50,14,9.1,1.2,0.62992125984252
"28934","Crêpes paysannes",6.3,1.5,16.6,2.7,1.2,8.3,0.374015748031496
"28964","Crevettes",1.15,0.3625,0.55,0.3125,0.125,17.975,0.40501968503937
"28969","Crevettes au curry rouge",3.9,0.8,2.1,1.8,0.3,15.5,0.236220472440945
"28976","Crevettes crême citron basilic",2.7,1.3,12,2.5,1.8,4.9,0.393700787401575
"28987","Crevettes en saumure",0.5,0.5,1.5,0.5,0.5,15,0.795275590551181
"28995","Crevettes marinées a l'ail",18,2.5,1.5,0,0,19,0.275590551181102
"29013","Crevettes Tail-on crues",1,0.6,0.5,0.5,0.5,8,0.433070866141732
"29016","Crevettes tropicales décortiquéecuites",0.4,0.1,0.1,0,0,18.5,0.669291338582677
"29028","Crica Lait",16,3.8,63.6,26.3,4.7,10.5,0.196850393700787
"29042","Crinkle Cut Kettle Cooked Potato ChipSriracha",25,3.57,64.29,7.14,3.6,7.14,0.643
"29065","Crisp -n Dry Vegetable Oil 100% Rapeseed Oil",92,7,0,0,0,0,0
"29083","Crisp RicCocoa",6.25,0,84.38,37.5,0,6.25,0.656
"29086","Crisp Rice Marshmallow BiteDark Chocolate Sea Salt Caramel",23.26,13.95,62.79,44.19,2.3,2.33,0.163
"29092","Crispbits",24.8,11.42,70.7,20.9,6.88,2.07,0
"29109","Crispy & Crunchy Kettle Style Potato ChipSweet Maui Onion",32.14,7.14,53.57,7.14,3.6,3.57,0.429
"29113","Crispy Alaska Pollock Fillets",8.45,0,19.72,0,1.4,11.27,0.521
"29138","Crispy Chicken Strips",10.115,1.79,19.05,0.595,1.2,14.285,0.5655
"29155","Crispy CookieOatmeal Cranberry",23.33,15,63.33,30,3.3,3.33,0.133
"29166","Crispy de porc",13,1.8,19,1.5,1,14,0.62992125984252
"29172","Crispy Flakes with Red Berries Cereal",0,0,87.1,29,9.68,6.45,0.484
"29174","Crispy Fried Onion Bits",42.86,21.43,42.86,0,0,0,0.5
"29180","Crispy Golden Fish Fillets",8.65,1.44,24.04,1.92,1,10.58,0.481
"29192","Crispy Iced Oatmeal Cookies",18.75,3.12,75,31.25,3.1,3.12,0.438
"29195","Crispy Key Lime Snaps",23.33,11.67,66.67,26.67,0,6.67,0.25
"29221","Crispy Potato Chips",35.71,5.36,53.57,3.57,3.6,3.57,0.482
"29236","Crispy Rice & Wheat Flakes With Strawberry",0,0,87.1,29.03,9.7,6.45,0.484
"29243","Crispy Rice Treats",5.47,2.015,53.93,26.415,0,2.865,0.2355
"29253","Crispy Snack Pack Potato Chips",36.29,4.03,52.42,4.03,4,4.03,0.484
"29259","Crispy Thin Crust Pizza",10.775,5.42,24.05,5.115,0.95,12.175,0.453
"29263","Crispy Wafer Bar StickMilk ChocolatPeanut Butter",30.95,11.9,54.76,42.86,2.4,9.52,0.321
"29267","Crispy Wheat Crackers",12.9,0,72.365,12.005,3.465,6.905,0.8655
"29285","croc'cereal boulgousarrasin et fromage",11,2.4,26,0.9,5.7,7.7,0.393700787401575
"29312","Croc tofu aux algues de Bretagne",8.2,1.4,1.9,0.5,5.6,14,0.374015748031496
"29318","Croccantelli AL ROSMARINO.",14.1,2.3,74.2,1.7,5,11.7,0.984251968503937
"29319","Croccantini Artisan CrackerRosemary",4,0,76,0,4,12,0.56
"29326","Crockett's HoneClover Blossom Honey",0,0,80.95,76.19,0,0,0
"29330","Croibleu",0,0,96.1,63.4,0,0,0.0078740157480315
"29332","Croissance (de 10 mois à 3 ans)",3,1.4,7.7,5.5,0,2.2,0.0334645669291339
"29342","Croissant Breakfast Sandwiches",21.09,7.81,23.44,3.12,3.1,8.59,0.578
"29350","Croissant X3",25,17,50,14,2.9,5.1,0.511811023622047
"29405","Croquant Fondant",24,1.9,48,41,9.7,6.6,0.0393700787401575
"29408","Croquants",13,1,73,65,1.4,11,0.031496062992126
"29412","Croquants au pistou NRDT",14.3,2.7,59.2,7.8,4.8,15.2,1.00787401574803
"29428","Croquants Emmental Oignon",31,18,46,2.2,2.7,17,0.8
"29491","CrossoverTomato Basil Blended Low-Fat Greek Strained Yogurt With Roasted Almonds",6.67,1.33,9.33,7.33,1.3,10,0.233
"29541","Crousti oignons",44,21,42,8,5.4,6,0.590551181102362
"29558","Croustillant Choc",27,13,33,24,4,6,0.0590551181102362
"29561","croustillant goût fromage",31,14.9,56.6,3.4,3.8,7.7,0.8
"29562","Croustillant lait et riz",24,15,63,52,2.5,7.3,0.198031496062992
"29563","Croustillant petit sarrasin",18,4.6,59,1,11,9,0.393700787401575
"29567","Croustillants au fromage",29,4,58,2.5,2.5,5,0.62992125984252
"29576","Croustillants goût fromage",29,3.9,58,2.5,2.5,4.8,0.669291338582677
