"","product_name","fat_100g","saturatedFat_100g","carbohydrates_100g","sugars_100g","fiber_100g","proteins_100g","sodium_100g"
"12",": Petits pois carottes très fins",0.6,0.1,8.1,3.4,5.2,3.4,0.240157480314961
"54","1-2-3 Bouillon de légumes déshydraté",0.5,0.1,0.6,0.5,0.5,0.5,0.346456692913386
"55","1 % Low Fat Milk",1.04,0.62,5.42,5,0,3.33,0.054
"59","1 / 2 Pulpe Tomates Bio Cirio",0.2,0.1,4.4,3.4,0.8,1.1,0.00511811023622047
"73","1% Low Fat Chocolate Milk",1.04,0.69,10.97,10.28,0.133333333333333,3.47,0.0943333333333333
"88","1% Milk",1.06,0.64,5.51,5.08,0,3.39,0.055
"95","1% Milkfat Lowfat Cottage Cheese",1.3,0.87,5.22,3.48,0,12.17,0.417
"98","1% Organic Chocolate Lowfat MilChocolate",1.04,0.62,10,9.17,0.4,3.33,0.083
"101","1,2,",14.29,7.14,75,21.43,0,7.14,0.286
"103","1.5% Milkfat Buttermilk",1.46,1.04,5.42,5,0,3.33,0.142
"113","10-Grain Pancake Mix",1.72,0.86,60.34,5.17,6.9,13.79,1.086
"117","10 Beignets de Volaille",12,2.7,16,2.1,1.6,11,0.590551181102362
"120","10 Brioches Rolls",10,7,54,12,1.5,9,0.448818897637795
"127","10 cordons bleus",13,5,19,3,2,12.5,0.511811023622047
"131","10 crêpes sucrées saveur vanille",6.5,1.8,34.6,13.2,1.7,5.8,0.220472440944882
"175","10 Pancakes nature et moelleux",16.1,1.7,46.3,28.3,0,5.7,0.578740157480315
"188","10 steaks hachés 100% pur boeuf 15% MG",15,7,0,0,0,19,0.07
"193","100-Calorie Greek Yogurt",0,0,10,4.67,3.3,8,0.045
"194","100 %",10,6.95,14,0.9,40.6,20.4,0.0393700787401575
"220","100 % pur jus de pamplemousse vert",0.2,0.1,11.2,9.8,0.5,0.6,0.0014
"223","100 % pur jus orange",0.1,0,10.2,10,0.2,0.6,0.01
"231","100 % Pur Jus Pamplemousse blanc",0.1,0.1,10,8.5,0.1,0.1,0.00393700787401575
"240","100 % Pur Jus Pomme (Pur Fruit Pressé)",0.1,0,10.5,10.5,0,0.1,0.0118110236220472
"241","100 % pur jus pomme framboise",0,0,12,11,0.5,0.1,0
"268","100% All Natural Porcini Mushroom Chicken",3.18,0.71,10.95,0,3.2,4.59,0.212
"278","100% Cacao Boissons et Pâtisseries",21,13,12,1.9,30,19,0.0196850393700787
"282","100% Coconut Water",0,0,5.06,3.99,0,0.133333333333333,0.0193333333333333
"284","100% Corn Pasta Fusilli",0.89,0,80.36,1.79,0,5.36,0
"304","100% Fruit Juice And Puree",0.21,0,9.09,8.25,0.8,0.42,0.001
"312","100% Fruits Mangue",0,0,11,11,0,0,0
"325","100% Issu des Fruits - Spécialité De Figue Cuit au Chaudron",0.5,0.1,31,30,2.1,1,0.0196850393700787
"331","100% Juice",0,0,14.7972727272727,12.2172727272727,0.436363636363636,0.544545454545455,0.0375454545454545
"345","100% Juice Smoothie",0,0,12.22,10.89,0.4,0.44,0.011
"353","100% JuicGrape",0,0,14.585,14.375,0,0.21,0.0095
"388","100% Mie Nature",4.1,0.3,47.7,6.4,2.15,7.15,0.395669291338583
"391","100% mie nature sans croûte (offre économique)",3.9,0.3,48.3,6,2,7.5,0.393700787401575
"408","100% Natural Gourmet Fruit Bar",0,0,18.64,18.64,0.8,0,0.003
"430","100% Natural Tomato Sauce",0,0,7.10666666666667,3.28,1.6,1.09333333333333,0.448
"434","100% naturali Star classico",3.5,0.6,32.4,11,0.5,12.4,17.5
"435","100% Orange Juice",0,0,11.11,9.44666666666667,0,0.83,0.004
"437","100% Orange JuicOrange",0,0,11.33,9.33,0,0.89,0.007
"454","100% Organic Black-Eyed Peas",1.15,0,17.69,0.77,7.7,7.69,0.262
"455","100% Organic Bread Flour",0,0,73.33,0,3.3,13.33,0
"473","100% Organic Tomato Juice",0,0,4.17,2.92,0.8,0.83,0.162
"477","100% Organic Whole Wheat Flour",1.56,0,68.75,0,12.5,12.5,0
"481","100% our jus raisins rouges du languedoc",0,0,16,16,0,0,0.0118110236220472
"483","100% Parmesan & Romano Grated Cheese",30,20,0,0,0,40,2.4
"497","100% Pur Jus 4 agrumes",0.5,0,10.2,9.2,0.6,0.6,0.0118110236220472
"499","100% pur jus Ananas",0.3,0,12.2,11.55,0.45,0.55,0.00688976377952754
"501","100% Pur Jus Carotte",0.1,0.1,7.5,7.3,0.2,0.5,0.05
"506","100% pur jus Cocktail d'Agrumes",0.1,0,10.4,10.3,0.1,0.6,0
"510","100% pur jus d'Orange",0.5,0.1,10,10,0.5,0.7,0.00393700787401575
"528","100% pur jus de pomme",0.05,0.01,10.65,10.4,0.1,0.05,0.000984251968503935
"552","100% pur jus pasteurisé de clémentines pressées",0.1,0,12,12,0.5,0.6,0
"553","100% pur jus pasteurisé de Clémentines pressées Andros",0.1,0,12,12,0.5,0.6,0
"563","100% pur jus raisin blanc muscaté",0,0,16,16,0,0.5,0.0078740157480315
"569","100% Pur Jus Vitamines A&C",0,0,9.7,9.2,0,0.5,0
"600","100% Pure Pasteurized Orange Juice",0,0,10.83,9.17,0,0.83,0
"605","100% Pure Pumpkin",0.136666666666667,0,8.57333333333333,3.31333333333333,3.03333333333333,1.66,0.004
"610","100% Quick Oats",6.25,1.25,67.5,2.5,10,12.5,0
"616","100% Semolina Macaroni ProducSpirals 38",1.79,0,75,1.79,3.6,12.5,0
"620","100% Stone Ground Buckwheat Flour",3.33,0,73.33,0,10,6.67,0
"639","100% Whey Gold Standard Double Rich Chocolate Flavour",3.8,2.3,5.8,3.9,1.9,78.5,0.244
"656","100% Whole Grain Quick Cooking Bulgur Wheat",1.25,0,75,0,17.5,12.5,0.012
"683","100% Whole Wheat Spaghetti Macaroni Product",1.79,0,71.43,3.57,8.9,14.29,0
"714","12 briochettes moelleuses",10.4,1.6,53.6,11.8,1.9,7.6,0.464566929133858
"729","12 Cumberland pork chipolatas",20.1,7.1,3.8,0.5,0.7,17.1,0.582677165354331
"730","12 Dürüm",6.5,2.9,58.9,2.6,0,7.8,0.590551181102362
"735","12 escargots préparés recette à la Bourguignonne",30.4,18.9,1.7,0.3,1.6,10,0.397637795275591
"737","12 Flavor Mini Gummi Worms",0,0,70,45,0,5,0.062
"744","12 Grain Whole Wheat Bread",5.56,0,46.67,6.67,6.7,11.11,0.3
"746","12 Knodel Bayrisch",0,0,75,0,7.1,3.57,1.107
"781","12 Pains au lait au levain",11,5.1,55.2,18.9,0,8.4,0.444881889763779
"800","12 Taco Shells",23.42,7.73333333333333,64.3,0,4.1,5.11333333333333,0.00533333333333333
"829","14 Gaufrettes saveur Cacao",26,16,63.5,39,2.2,5.4,0.169
"860","150 Calorie PastPenne",1.79,0,75,3.57,23.2,10.71,0.071
"862","150 Calories Penne Rigate",1.79,0,73.21,1.79,23.2,12.5,0.098
"867","16-1 Link-Apple And Cinnamon Breakfast Sausage",19.05,7.14,7.14,3.57,0,15.48,0.798
"870","16 Bean Soup Mix",0,0,7.89,2.63,34.2,21.05,0.211
"875","16 galettes au Beurre",14,8.5,75,26,1.5,5.5,0.46
"877","16 Mignardises Création",22.8,14.2,34.4,23.4,2.8,4.7,0.0748031496062992
"911","18 Rabbits JrJr. Organic Granola CereaChocolatBanana",20.69,10.34,65.52,17.24,10.3,10.34,0
"919","180 SnackPistachio Trail Mix Crunch",42.86,5.36,35.71,17.86,7.1,17.86,0.161
"924","185G Portion 1 / 8 Port Salut",27,18,0.5,0,0,21,0.62992125984252
"926","1898 Choucroute RoyalAu Riesling",8,3.5,1,0.2,0,5.6,0.433070866141732
"927","19 Grains Bread",3.49,0,41.86,6.98,2.3,9.3,0.395
"928","1952 red beans",0.3,0,8.3,0.3,6.5,6.1,0.346456692913386
"931","1KG Orecchiette Chef Barilla",2,0.5,70.2,3.5,3,13.5,0.00511811023622047
"947","2 beignets de dos de cabillaud",7.7,0.8,7.1,1.3,1,14.5,0.339
"964","2 Cassolettes aux noix de Saint-Jacques",6.4,4.2,3.9,2.1,0.3,5.6,0.299212598425197
"975","2 Coquilles aux noix de Saint-Jacques* et saumon (Fondue de poireausauce citronnéeSurgelées",8.9,5.7,3.4,1.6,0.6,10.7,0.263779527559055
"994","2 Croustillants Chocolat et Noisettes",30.3,11.7,35.5,21.3,4.4,7.9,0.0393700787401575
"999","2 demi-baguettes de campagne précuites",0.5,0,50,2,3.5,9,0.551
"1057","2 Galettes Petites Gambas à la Bretonne",4.3,2.3,13,1.5,1.2,6.5,0.318897637795276
"1068","2 Gourmet Filets Au Citron Findus",9.3,4.9,0.4,0.1,0,15.1,0.15
"1071","2 Herb and Garlic Fillets",9.2,1.3,11.9,1.1,6.7,11.4,0.375
"1076","2 Kebabs",4.2,0.9,22.6,2.7,1.5,10.2,0.263779527559055
"1098","2 Panés De Colin D'alaska,",8.8,0.7,18.5,0.8,0.8,11.4,0.244094488188976
"1099","2 panés de poulet original",13,1.5,22,0.7,0.9,15,0.381889763779528
"1122","2 Pork Ribeye Steaks",21.2,8.4,0.2,0.2,0,26.7,0.0394
"1147","2 steaks hachés saumon",18.8,2.6,3,1,1.8,17.6,0.32
"1159","2 Tartines Jambon Fromage Tomates",11,3.7,30,3.4,2,10,0.511811023622047
"1162","2 thin & crispy pizza bases",7.8,0.6,49.9,2.1,2.1,9.7,0.276
"1177","2% Low-Fat Yogurt",2.08,1.46,7.92,7.08,0,3.33,0.046
"1189","2% Milkfat Greek Lowfat YogurBlueberry",1.67,1,14,12.67,0.7,6.67,0.053
"1208","2& Reduced Fat Milk",2.12,1.27,5.08,5.08,0,3.39,0.055
"1244","200G Tzatziki Grand Jury",15,1.3,2.3,2.1,1.6,6.1,0.389763779527559
"1263","24 Grains & Seeds Bread",7.78,0,42.22,8.89,7.8,11.11,0.378
"1266","24 Moules FarcieBoîte De 250 Grammes",33.2,19.1,5.4,1.9,0.5,8.3,0.417322834645669
"1268","24 petits beurre",9.6,5.7,75.9,24.6,3.1,7.4,0.433070866141732
"1281","250G Graines De Courge",45.2,8.8,1.2,1.2,6.4,36.4,0.015748031496063
"1282","250G Graines De Tournesol Decortiquees",51.5,4.5,11.4,2.6,8.6,20.8,0.0118110236220472
"1292","263G Fajita Kit PR 2 Old El Pay",3.5,0.8,38.3,6.1,1.9,6.5,0.905511811023622
"1296","280 recette Originale",13,6.1,18,2.1,1.1,14,0.433070866141732
"1313","2X25CL Blediner Lait Epinard Bledina",2.5,1.2,11.4,5,0.16,2.1,0.0393700787401575
"1334","3 Cheese Ravioli",8.77,4.39,37.72,0,0,16.67,0.649
"1342","3 escalopes de Dinde",0.78,0.21,0.41,0.1,0.4,25,0.073
"1358","3 Organic Baby Food",3.54,0.44,15.04,3.54,2.6,2.65,0
"1375","30 Mini-feuilletés apéritifs - surgelés 405 g",18.9,10,27.1,1.4,0.7,6,0.4
"1378","30 Minute Marinade",0,0,12.5,6.25,0,0,1.438
"1397","35 Calorie Whole Grain Bread",2.13,0,40.43,2.13,14.9,10.64,0.404
"1404","36 Biscottes complètes",5.8,0.6,65,4.9,11,12,0.511811023622047
"1412","365 Everyday ValuOrganic FusillMacaroni Product",1.79,0,75,3.57,3.6,10.71,0
"1415","365everyday ValuAmondRoasted & Salted",57.14,3.57,17.86,3.57,10.7,21.43,0.339
"1423","3D's",32,2.4,55,3.5,2.1,6,1.16929133858268
"1426","3D's BugleGoût Cacahuète (Lot de 2)",38,4,48,4,3,8.5,0.688976377952756
"1439","3D bugles goût chèvre",32,2.5,56,6,2,6,1.0511811023622
"1450","3min Spicy Curry",2.11,0.53,10.53,3.16,2.1,1.58,0.432
"1451","3pk Jumbo Lemon Fritters",17.7,7.96,46.02,20.35,1.8,4.42,0.301
"1477","4 Blinis Gourmands",10.8,0.95,30.6,2.405,1.7,5.3,0.438976377952756
"1485","4 brochettes de saumon Atlantiqucolin lieu et ananas",9.3,1.4,1.9,1.9,0.5,16.2,0.192913385826772
"1488","4 Buns",7.6,0.9,55,5.3,2.9,7.5,0.433070866141732
"1492","4 cereales bio",3,0.5,76,1.5,6.6,9.5,0.0984251968503937
"1526","4 crêpes de froment",4.2,1.9,46.1,19.8,1.3,7.4,0.169291338582677
"1558","4 Galettes au Son d'Avoine Cranberries",1.7,0.3,29.2,10.7,5,6.5,0.196850393700787
"1566","4 Gaufres de Bruxelles congelées",16.9,1.4,32.6,27.3,2.1,5.8,0.0944881889763779
"1572","4 Greek Style Yogurts with honey",8,5.5,15.2,13.9,0,3.6,0.0394
"1583","4 Knacks",26,9.7,0.6,0.6,0,13,0.905511811023622
"1592","4 Milk Chocolate Shakes",1.54,0.31,7.08,2.77,1.5,3.69,0.071
"1602","4 mini gratins pomme de terre et foie gras",8.9,4.2,11.2,1.9,2.1,3.5,0.393700787401575
"1647","4 paupiettes de veau façon bouchère",9,4,2,0.5,2.7,18,0.433070866141732
"1681","4 Spaghetti",1.5,0.3,74.7,2.5,3,12.5,0.00669291338582677
"1687","4 Steaks hâchés Pur Boeuf",5,2.2,0,0,0,20,0.0787
"1691","4 tartares de saumon à la ciboulette",14.5,2.1,0.4,0.3,0.5,16.4,0.409448818897638
"1739","47% Milk And Dark Premium Swiss Chocolate Assortment",30.77,17.95,61.54,53.85,5.1,5.13,0.026
"1760","5 Blinis",9.6,0.9,36.1,8.5,2,4.8,0.52755905511811
"1766","5 gaufres liégeoises",24,13,54,31,2.1,5.9,0.354330708661417
"1767","5 Gaufres Liégeoises aux perles de sucre !",19.1,6.8,55.5,21.5,2.3,6.3,0.354330708661417
"1770","5 Generation BakerCranberry Cinnamon Swirl Demi Loaf",11.11,3.7,59.26,29.63,3.7,0.01,0.352
"1789","5 super naan",3.4,0.4,47.9,5.2,3.1,9.1,0.7
"1796","50 Calorie Mixed Fruit In Extra Light Syrup",0,0,11.5,10.62,0.9,0,0.004
"1820","500G Penne Farro Complete",1.6,0.3,67,2.9,5.7,14,0
"1824","500G Riz Parfume Camargue Taueau Aile",1,0.15,77,0.5,1.2,7,0.00393700787401575
"1860","6 Barres de céréales",20,13,58,30,4,9,0
"1864","6 Barres de Céréales Pomme Verte",5.8,0.7,74,28,4.6,5.1,0.188976377952756
"1874","6 carrés fourrésaveur amande",14.3,6.2,59.1,34.3,2.6,5.5,0.208661417322835
"1881","6 Chipolatas Supérieures",18,6.8,3.3,0.5,0.5,15,0.551181102362205
"1894","6 Crème Caramel",1,0.6,20,17,0,2.2,0.0394
"1905","6 crêpes sucrés",5.6,1.1,27.3,10.2,1.3,4.9,0.192913385826772
"1909","6 Cumberland Sausages",23.4,8.3,2.5,1.3,1.5,21.4,0.13
"1925","6 Grain Cereal",1.92,0,78.8,28.8,7.69,9.62,0.288
"1926","6 Gros oeufs frais bio Bonneterre",10.5,3.3,0.8,0.8,0,12.5,0.118110236220472
"1929","6 Hamburgers",8.5,3.9,23,3.2,2.2,14,0.551
"1964","6 oeufs frais datés du jour de ponte",9.9,2.6,0.8,0.8,0,12.6,0.12992125984252
"1988","6 petits pains précuits",0.9,0.2,50,3.6,2.9,7.4,0.582677165354331
"1996","6 quenelles de veau sauce financière",11,5.6,9.8,1.4,1.7,3.9,0.393700787401575
"2007","6 Smoothies Pêche - Mangue",0.4,0.1,21.9,21.5,0.3,0.6,0.00393700787401575
"2018","6 toffee terror whirls",28.7,11.3,58.3,29.2,1.2,3.9,0.244094488188976
"2020","6 tortillas",8.7,1,46,3.9,3.8,9,0.62992125984252
"2033","60% Dark Cacao Baobab Fruit Chocolate",37.84,24.32,51.35,35.14,10.8,5.41,0
"2038","670G Ravioli Au Seitan Sauce Tomate",4.7,0.5,9.3,1.9,1.2,2.5,0.354330708661417
"2064","7 Spices",0,0,0,0,0,0,0
"2073","7"" Whole Wheat Flour Tortillas",4,1.43,45.71,2.86,8.6,8.57,0.623
"2081","70% Dark Chocolate - Divine - 100 g",43.3,29.2,32.2,27,10.7,6.7,0.0393700787401575
"2083","70% Dark Chocolate BaSea Salt",39.53,23.26,48.84,30.23,9.3,6.98,0.372
"2087","70% Dark ChocolatIntensely Rice",45.24,28.57,45.24,26.19,11.9,7.14,0
"2103","720G Compote Pomme -30% Sucre Grand Jury",0,0,14,14,1.8,0,0
"2111","750ML Sorbet Cassis Angelys",0.3,0,31.3,24.6,0,0.3,0.0196850393700787
"2115","75CL Vinaigre De Vin Rouge Grand Jury",0,0,0,0,0,0,0
"2118","7days",17,9,24,9,3,4,88
"2125","7j Tomatillo SalsMedium",0,0,3.12,0,3.1,0,0.656
"2129","7up citron et citron vert",0,0,7,7,0,0,0.0118110236220472
"2139","8 All Butter Croissants",23.4,15.9,42.9,5.9,2.6,8.1,0.295275590551181
"2143","8 Beignet de crevette",10.8,0.8,28.7,9.9,0.4,5.1,0.688976377952756
"2164","8 crêpes moelleuses saveur vanille",15.8,1.8,32.5,15.5,0.5,7.1,0.0551181102362205
"2174","8 fiendish fancies",9.8,4.3,70.7,57.9,0.5,2.7,0.220472440944882
"2176","8 financiers aux amandes",23.7,12.8,44.3,34,2.4,8.7,0.145669291338583
"2180","8 fusées de glace à l'eau",1,1,19.7,18.9,0.5,1,0.00393700787401575
"2197","8 jirou pao au poulet",3.1,0.6,22.8,4.9,1.6,6.3,0.417322834645669
"2205","8 Lollipops",0,0,92.86,57.14,0,0,0
"2206","8 Madeleines Recette de Commercy",22,15,56,31,2.2,6,0.188976377952756
"2211","8 Mini-Nems de dinde sauce Nuoc Mam",11.6,1.4,21.2,1.9,1.9,6.2,0.47244094488189
"2216","8 Mini Gaufres Moelleuses",25.8,12.9,50.1,32.8,2.3,8.1,0.303149566929134
"2232","8 pains au lait nature",11,1,51.3,12.8,2.4,9,0.433070866141732
"2243","8 perles de coco",12.1,10.8,33.5,7.8,1.5,4.2,0.04
"2258","8 tartes aux poireaux aux oeufs frais",11.4,3.9,23.5,3,1.4,4.6,0.311023622047244
"2262","8 Tortillas - Blé et maïs",7.3,1.4,51,2.5,3,8.2,0.511811023622047
"2295","880 Turron Jijona 300G (10.5oz.)",40,3.8,33,28,2.6,20,0.0236220472440945
"2325","90 Calorie Chewy BarChocolate Peanut Butter",10.87,4.35,73.91,21.74,21.7,4.35,0.348
"2376","A Semi-Sweet Basket Cheese",21.43,14.29,3.57,3.57,0,21.43,0.679
"2394","A Whole Hazelnut In Chewy Caramel With Chocolate Hazelnut Filling And Chocolate",27.27,12.12,63.64,45.45,3,6.06,0.121
"2396","A&All Natural Veggie Chips",21.43,1.79,67.86,0,3.6,3.57,1
"2411","Aardbeien-sinaasappel confituur",0.5,0.1,60,57,0.9,0.5,0.00393700787401575
"2415","Abbaye De Sept-fons - Nutripalet Biscuits Palets 120 g - Naturellement Riche En FeCalcium Et Magnésium",29,20,53,24,2.7,6.3,0.511811023622047
"2425","AbdallaRabbit Tail Marshmallows With Milk Chocolate",26.92,15.38,61.54,53.85,3.8,3.85,0.058
"2460","Abricots bruns",0.7,0.02,43.4,43,7.7,4.8,0
"2464","Abricots demi-fruitau sirop léger",0.1,0,15.4,15.4,0.8,0.5,0.00393700787401575
"2470","Abricots et Pêches",0.1,0,59,59,1.1,0.4,0
"2475","Abricots moelleux ambres",0.26,0.1,49,21,6.7,2.1,0.0196850393700787
"2478","Abricots Moelleux Dénoyautés",0.4,0.3,45,25,5.7,2,0.0118110236220472
"2483","Abricots Secs Cora",0.5,0.2,61,33,7.9,2.5,0.0393700787401575
"2490","AbsolutelGluten Free Classic Coconut MacaroonToasted Coconut",25,21.43,67.86,53.57,7.1,7.14,0.071
"2534","Aceite de oliva virgen extra Oleoestepa Origen Estepa",100,12,0,0,0,0,0
"2546","Aceitunas negras enteras Carrefour Variedad Cacereña",17.5,2.7,0.1,0.1,3,0.5,0.9
"2548","Aceitunas negras enteras Dia",16,2.7,0.1,0.1,3,0.5,0.82
"2549","Aceitunas negras sin hueso",14,2.2,0,0,3,0.5,0.984251968503937
"2561","Aceitunas verdes partidas aliñadas Baresa Variedad Obregón",19.7,3.2,0,0,2.3,1.1,1.3
"2573","Aceto balsamico di modena",0.8,0,32.5,30.4,0,1.4,0.0393700787401575
"2584","Acidulo's goût tutti frutti",0.5,0.5,94.2,68.4,0,0,0.00708661417322835
"2587","Acini di Pepe no. 78",1.79,0,73.2,1.79,3.57,12.5,0
"2590","Ackee In Salt Water",9,3.5,11,4,2,4,0.125
"2593","Acme Fresh MarkeCubed Swiss CheesWisconsin Cheese",35.71,21.43,0,0,0,21.43,0.429
"2595","Acme Fresh MarkeKettle Cooked Potato ChipSalt & Cracked Pepper",32.14,3.57,53.57,0,3.6,7.14,1.571
"2628","Activa",4.1,2.6,17.4,16.2,2.39,4.6,0
"2644","Activia BreakfasJoghourt Natur Gezuckert",3,1.9,18.5,11.7,0.9,4.8,0.125984251968504
"2645","Activia cereales",3.7,2.2,13.4,12.5,2.3,3.9,0.0511811023622047
"2651","Activia fruits",3.3,2.3,12.8,12.5,0,3.3,0.0511811023622047
"2655","Activia Greek Vanilla",0,0,14.7,14,0,8,0.0333
"2656","Activia Intensely Creamy Bursting Blueberry",3,2.1,13.4,13.2,0.5,5,0.0394
"2668","Activia saveur coco x 4",3.1,2,13.1,13.1,0,3.6,0.0511811023622047
"2680","ActiviLight Fat Free YogurKey Lime",0,0,8.85,5.31,1.8,3.54,0.066
"2681","ActiviLight Nonfat Probiotic YogurStrawberry",0,0,8.85,6.19,1.8,3.54,0.066
"2682","ActiviLight Nonfat YogurPeach",0,0,8.85,6.19,1.8,3.54,0.058
"2693","ActiviYogurLowfaBlueberry",1.33,0.88,18.58,15.04,0.9,3.54,0.049
"2698","Adalouse Sauce",60.9,3.6,6.1,4.6,0.2,2.1,0.748031496062992
"2716","AdmiratioPure Canola Oil",100,6.67,0,0,0,0,0
"2720","Adobo All Purpose Seasoning",0,0,12.5,0,0,0,24.75
"2784","Aged Cheddar And Broccoli Soup",7.76,4.08,4.9,2.04,0.8,3.27,0.343
"2786","Aged Cheddar Cheese Sauce",8.47,2.015,9.68,4.035,0,0.805,0.7985
"2793","Aged Parmesan Ranch Dressing",55.17,8.62,3.45,3.45,0,3.45,1.034
"2806","Aglio",0.7,0.1,8.1,6.5,1.9,1.7,0.303149606299213
"2822","Agrum Zéro",0.1,0.1,0.2,0.1,0.1,0.1,0.0118110236220472
"2838","AH Soja drink ongezoet",2,0.3,0.8,0.7,0.5,3.5,0.0393700787401575
"2849","Ai Yu Gelée",0,0,17,14,0,0,0.005
"2853","AidellBreakfast Links Smoked Chicken SausagChorizo",14.29,4.46,1.79,1.79,0,17.86,0.821
"2880","Aiguillettes de Poulet et Pennes Complètes aux Petits Légumes sauce aux Poivrons",0.571,0.171,3.26,0.886,0.629,2.77,0.054
"2901","Ail doux au basilic",2.8,0.2,6,0.7,0,2.7,0.984251968503937
"2902","Ail émincé",16.6,10.3,7.89,1.07,1.15,3.425,0.675
"2904","Ail et Fines Herbes",24,16,3,3,0.5,5.5,0.47244094488189
"2905","Ail et fines herbes (8 portions) - (32,5 %MG)",32.5,22.8,3,2,1,9,0.6
"2922","Aioli",69.23,3.85,7.69,0,0,0,0.654
"2926","Aioli Zesty Garlic",64.29,0,7.14,0,0,0,0.5
"2927","Air-parade",0.1,0.1,77.4,45.6,0.1,6.9,0.03
"2946","Airwaves Black Menthol",0,0,59.1,0,0,0,0
"2955","Aj's Fine FoodKettle Sweet Pecans",46.43,7.14,42.86,39.29,7.1,3.57,0.268
"2956","Aj's Fine FoodNatural Cinnamon Yogurt Pretzels",21.43,17.86,75,46.43,3.6,3.57,0.571
"2957","Aj's Purveyors Of Fine FoodRed Licorice Candy Sticks",0,0,85.71,39.29,0,3.57,0.054
"2965","AjishimRoasted Wasabi Seasame Rice Seasoning",31.25,0,50,12.5,12.5,12.5,1.562
"2981","Ajver Hot Vegetable Spread",15,0,17.5,2.5,2.5,5,0.75
"2986","Akawi Cheese",21.43,14.29,0,0,0,14.29,3.036
"3001","AkkenTurkish Delight Antep Fistikli Pistachio",1.9,0.25,63.9,59.3,1.3,2.07,0.275
"3007","Al AmiPremium Fava Beans",0.77,0,11.54,0.77,5.4,5.38,0.331
"3015","Al DentThree Pepper Fettuccine Noodles",1.79,0,75,1.79,3.6,14.29,0.027
"3031","Alamo ReMargarita Mix",0,0,28.72,27.18,0,0,0.01
"3038","Alaska Keta Salmon Fillets",3.98,0.88,0,0,0,20.35,0.049
"3058","AlAwakeWheatgrass Juice",0,0,6.25,6.25,0,0,0.015
"3067","Albacore Tuna With Omega-3 Tuna Oil",2.82,0.7,1.41,0,1.4,22.54,0.239
"3077","Albert's PizzRoasted Vegan",3.85,0,25.64,1.92,1.9,4.49,0.173
"3086","Albóndigas vegetales",19.2,2.6,18.1,0.5,4.8,10.7,0.551181102362205
"3114","Alcaparras Carrefour",0.7,0.2,2.2,2.2,4.3,0.8,3
"3132","Alden'Sherbet Ice CreaTropical Punch",1.76,1.18,27.06,20,0,1.18,0.024
"3135","AlejandrPasteurized Cheese SnacJalapeno Cheddar Cheese",26.67,8.33,13.33,6.67,0,6.67,1.733
"3139","Alexandra'Home Style Potato Pierogi",4.04,1.52,42.42,7.07,2,7.07,0.333
"3143","Alfabeto Di Pasta Con Purea Di Verdure Bio",2,0.1,74,3,3,10,0.0393700787401575
"3174","Algas dulse deshidratadas",1.1,0.49,41,0.5,43,27,1.8
"3176","Algas lechuga de mar deshidratadas",0.9,0.36,42,0.5,40.8,17.8,1.6
"3188","Alhema D Queiles",93,13,0,0,0,0,0
"3221","All-Natural Almond ButteMaple",46.88,6.25,28.12,9.38,9.4,18.75,0.203
"3240","All-Purpose Unbleached Flour",0,0,74.19,3.23,3.2,9.68,0
"3241","All-Star Popcorn Balls",3.57,0,92.86,64.29,3.6,3.57,0.5
"3247","All American Half Sub",12.41,6.02,20.3,2.26,0.8,14.29,0.586
"3256","All butter Cranberry & Orange Cookies",15.2,8.6,67.5,41.2,2.7,4.4,0.295275590551181
"3264","All butter summer trifle coockirs",21.5,10.1,62.5,30.5,3.2,5.9,0.401574803149606
"3294","All Natural Barbecue Auce",0,0,32.35,29.41,0,0,0.618
"3297","All Natural Beef Jerky",3.57,0,26.785,25,0,39.29,2.286
"3311","All Natural Capers In Vinegar",0,0,60,0,6.7,0,2.267
"3312","All Natural Capotes Capers",0,0,7.14,0,3.6,0,2.8
"3315","All Natural Cheddar Cheese",32.14,21.43,3.57,0,0,25,0.607
"3333","All Natural Clear Liquid Water Infusion",30.77,0,0,0,0,0,0
"3341","All Natural Cracked Wheat",1.25,0,59.39,0,11.2,11.16,0.2315
"3352","All Natural Cut Green Beans",0,0,6.17,2.47,2.5,1.23,0
"3367","All Natural Flavored Cane SugaHuckleberry",0,0,100,100,2.1,0,0
"3380","All Natural Garlic Paste",41.67,0,8.33,0,0,0,2.833
"3408","All Natural Hoagie Rolls",1.76,0,56.47,2.35,1.2,9.41,0.635
"3428","All Natural Ice CreaRaspberry Chocolate Chip",12.86,7.14,25.71,24.29,0,4.29,0.064
"3437","All Natural Italian Sausage",22.62,8.33,2.38,1.19,0,16.67,0.631
"3441","All Natural Jasmine Blend",1.11,0,77.78,2.22,2.2,8.89,0
"3459","All Natural Milk",4.58,2.92,12.92,12.08,0,3.75,0.067
"3465","All Natural Minis Chunky AvocadMild",15.79,2.63,8.77,0,5.3,1.75,0
"3479","All Natural Oat Nut Bread",4.65,0,46.51,6.98,4.6,9.3,0.442
"3519","All Natural Preservative Free Sausage Links",40,13.33,2.22,0,0,15.56,0.533
"3598","All Natural Thin & Crispy Pizza Uncured Pepperoni",9.6,4,22.4,2.4,2.4,12.8,0.584
"3613","All Natural Turkey Jerky",0,0,14.29,10.71,0,39.29,0.75
"3618","All Natural Uncured Smoked Ham",1.79,0,3.57,1.79,0,21.43,0.786
